CT,Boro,Turnover
116600,Kings,9.9
116800,Kings,4.3
117000,Kings,16.9
117201,Kings,1.3
117202,Kings,5.9
117400,Kings,9.4
117601,Kings,13.6
117602,Kings,14.8
117800,Kings,15.5
118000,Kings,0.0
118201,Kings,26.7
118202,Kings,4.4
118400,Kings,12.1
118600,Kings,10.2
118800,Kings,12.0
119000,Kings,13.1
119200,Kings,14.0
119400,Kings,9.2
119600,Kings,6.7
120000,Kings,13.9
120200,Kings,9.8
120800,Kings,10.1
121000,Kings,7.5
121400,Kings,4.1
122000,Kings,8.0
300100,Nassau,11.4
300300,Nassau,8.2
300400,Nassau,6.9
300500,Nassau,9.3
300600,Nassau,3.6
300700,Nassau,11.4
300800,Nassau,2.2
300900,Nassau,8.3
301000,Nassau,6.5
301101,Nassau,15.8
301102,Nassau,6.3
301200,Nassau,10.6
301300,Nassau,16.4
301400,Nassau,6.6
301500,Nassau,6.4
301600,Nassau,3.6
301700,Nassau,6.6
301800,Nassau,10.3
301900,Nassau,10.3
302000,Nassau,10.7
302101,Nassau,4.5
302102,Nassau,1.2
302200,Nassau,10.7
302300,Nassau,6.5
302400,Nassau,9.7
302501,Nassau,5.3
302502,Nassau,6.3
302600,Nassau,6.3
302700,Nassau,4.6
302800,Nassau,6.1
302900,Nassau,4.2
303000,Nassau,4.8
303101,Nassau,7.5
303102,Nassau,2.8
303201,Nassau,4.6
303202,Nassau,2.9
303301,Nassau,7.3
303302,Nassau,4.3
303400,Nassau,5.3
303500,Nassau,4.5
303600,Nassau,7.2
303700,Nassau,11.3
303800,Nassau,5.1
303900,Nassau,4.5
304001,Nassau,3.0
304002,Nassau,15.9
304100,Nassau,10.3
304201,Nassau,14.3
304202,Nassau,12.8
404300,Nassau,3.0
404400,Nassau,7.5
404500,Nassau,6.8
404600,Nassau,4.3
404700,Nassau,3.3
404800,Nassau,6.5
404901,Nassau,6.4
404902,Nassau,2.5
405000,Nassau,9.5
405100,Nassau,6.7
405200,Nassau,13.3
405301,Nassau,4.2
405302,Nassau,5.2
405400,Nassau,15.5
405500,Nassau,5.2
405600,Nassau,3.3
405700,Nassau,1.9
405800,Nassau,5.2
405900,Nassau,4.3
406001,Nassau,5.6
406002,Nassau,3.9
406100,Nassau,5.0
406201,Nassau,6.5
406202,Nassau,10.2
406300,Nassau,5.0
406400,Nassau,9.2
406501,Nassau,7.7
406502,Nassau,28.4
406600,Nassau,2.9
406700,Nassau,11.9
406800,Nassau,16.5
406900,Nassau,16.5
407000,Nassau,21.2
407101,Nassau,6.6
407102,Nassau,15.7
407201,Nassau,21.5
407202,Nassau,11.3
